0,1,2,3,4,5,6,7,8,9,10
Grupo2001,Sem_2_Area_1,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_2_Area_1
1200,APRENDIZAJE Y CONDUCTA ADAPTAT.I,,,,07:30 a 09:30A 104,08:00 a 10:00A 104,,BACHA MENDEZ GUSTAVO,,Sem_2_Area_1
1202,INTROD.A LA METOD.INVESTIG.PSICOL.,,09:30 a 11:00A 208,,09:30 a 11:00A 208,,,RIVERA ARAGON SOFIA,,Sem_2_Area_1
Grupo2001,Sem_2_Area_3,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_2_Area_3
1203,NEUROBIOLOGIA Y ADAPTACION,,08:00 a 09:30A 208,08:00 a 09:30A 306,,,,SANCHEZ DINORIN GERARDO,,Sem_2_Area_3
Grupo2001,Sem_2_Area_4,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_2_Area_4
1201,APROXIM.AL PROCES. SALUD-ENFERMEDAD,09:00 a 12:00A 306,,,11:00 a 14:00A 307,,,RAMIREZ CAMACHO MARÍA DEL CARMEN,,Sem_2_Area_4
Grupo2001,Sem_2_Area_5,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_2_Area_5
1204,TEORIA PSICOGENETICA CONSTRUCTIVIS.,,,09:30 a 12:30A 106,,12:00 a 14:00A 305,,RUBIO JIMENEZ ANA LUISA,,Sem_2_Area_5
Grupo2001,Sem_2_Area_7,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_2_Area_7
1205,TRANSDISCIPLINA I,,,,,10:00 a 12:00A 105,,LARIOS DELGADO ANGELICA,,Sem_2_Area_7
Grupo2001,Sem_2_Area_9,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_2_Area_9
1200,APRENDIZAJE Y CONDUCTA ADAPTAT.I,,,,07:30 a 09:30A 104,08:00 a 10:00A 104,,BACHA MENDEZ GUSTAVO,,Sem_2_Area_9
1201,APROXIM.AL PROCES. SALUD-ENFERMEDAD,09:00 a 12:00A 306,,,11:00 a 14:00A 307,,,RAMIREZ CAMACHO MARÍA DEL CARMEN,,Sem_2_Area_9
1202,INTROD.A LA METOD.INVESTIG.PSICOL.,,09:30 a 11:00A 208,,09:30 a 11:00A 208,,,RIVERA ARAGON SOFIA,,Sem_2_Area_9
1203,NEUROBIOLOGIA Y ADAPTACION,,08:00 a 09:30A 208,08:00 a 09:30A 306,,,,SANCHEZ DINORIN GERARDO,,Sem_2_Area_9
1204,TEORIA PSICOGENETICA CONSTRUCTIVIS.,,,09:30 a 12:30A 106,,12:00 a 14:00A 305,,RUBIO JIMENEZ ANA LUISA,,Sem_2_Area_9
1205,TRANSDISCIPLINA I,,,,,10:00 a 12:00A 105,,LARIOS DELGADO ANGELICA,,Sem_2_Area_9
Grupo4001,Sem_4_Area_1,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_4_Area_1
1400,APRENDIZAJE Y CONDUCTA ADAPTAT. III,10:30 a 12:00A 208,,,12:30 a 14:00A 206,,,REYES CONTRERAS RAUL,LE CORRESPONDEN LOS GRUPOS DE PRÁCTICAS 4101 Y 4102,Sem_4_Area_1
1402,FILOSOFIA DE LA PSICOLOGIA,,08:30 a 10:00A 108,12:30 a 14:00A 106,,,,GALLARDO RAMIREZ LUIS MARIANO,,Sem_4_Area_1
Grupo4001,Sem_4_Area_2,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_4_Area_2
1405,PSICOLOGIA SOCIAL DE LO COLECTIVO,,10:00 a 12:00A 303,,,09:00 a 12:00A 303,,DOMINGUEZ ZUÑIGA TANIA FABIOLA,,Sem_4_Area_2
Grupo4001,Sem_4_Area_3,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_4_Area_3
1403,NEUROCOGNICION,08:00 a 09:30A 203,,,08:00 a 09:30A 203,,,DEL RIO PORTILLA IRMA YOLANDA,,Sem_4_Area_3
Grupo4001,Sem_4_Area_5,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_4_Area_5
1406,TEORIA SOCIOCULTURAL,,,09:30 a 12:30A 307,09:30 a 12:30A 203,,,CARLOS GUZMAN JOSE JESUS,,Sem_4_Area_5
Grupo4001,Sem_4_Area_7,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_4_Area_7
1401,COMPRENSION DE LA REALIDAD SOC. I,,,07:30 a 09:30A 305,,,,CRUZ CRUZ ALEJANDRA,,Sem_4_Area_7
Grupo4001,Sem_4_Area_9,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_4_Area_9
1400,APRENDIZAJE Y CONDUCTA ADAPTAT. III,10:30 a 12:00A 208,,,12:30 a 14:00A 206,,,REYES CONTRERAS RAUL,LE CORRESPONDEN LOS GRUPOS DE PRÁCTICAS 4101 Y 4102,Sem_4_Area_9
1401,COMPRENSION DE LA REALIDAD SOC. I,,,07:30 a 09:30A 305,,,,CRUZ CRUZ ALEJANDRA,,Sem_4_Area_9
1402,FILOSOFIA DE LA PSICOLOGIA,,08:30 a 10:00A 108,12:30 a 14:00A 106,,,,GALLARDO RAMIREZ LUIS MARIANO,,Sem_4_Area_9
1403,NEUROCOGNICION,08:00 a 09:30A 203,,,08:00 a 09:30A 203,,,DEL RIO PORTILLA IRMA YOLANDA,,Sem_4_Area_9
1405,PSICOLOGIA SOCIAL DE LO COLECTIVO,,10:00 a 12:00A 303,,,09:00 a 12:00A 303,,DOMINGUEZ ZUÑIGA TANIA FABIOLA,,Sem_4_Area_9
1406,TEORIA SOCIOCULTURAL,,,09:30 a 12:30A 307,09:30 a 12:30A 203,,,CARLOS GUZMAN JOSE JESUS,,Sem_4_Area_9
Grupo6101,Sem_6_Area_1,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_6_Area_1
1615,"APRENDIZAJE,MOTIVAC.Y  COGNIC.  II",08:00 a 11:00A 101,,,,10:00 a 12:00A 101,,BACHA MENDEZ GUSTAVO,TEMáTICA: COGNICIóN ANIMAL Y BIOéTICA; PRE-REQUISITOS: LECTURAS EN INGLéS.,Sem_6_Area_1
1616,DESAR.ACTUALS.EN COGNIC.COMPOR.II,,12:00 a 15:00A 310,,,,,VELAZQUEZ MARTINEZ DAVID NATHANAEL,TEMáTICA:VALOR DE REFORZAMIENTO Y ESFUERZO; PRE-REQUISITOS: INTERéS POR LA INVESTIGACIóN.,Sem_6_Area_1
1618,TALLER DE INVESTIGACION II,11:00 a 13:00B 17,,,,,08:00 a 16:00AULA PENDIENTE,GARCIA CABRERO BENILDE,"TEMáTICA: REVISIóN DEL TEMA DE VIOLENCIA EN LA COMUNIDAD UNIVERSITARIA; PRE-REQUISITOS: CUBRIR EL HORARIO DE LOS LUNES Y 8 HORAS DE ACTIVIDADES EN ESCENARIO A LO LARGO DE LA SEMANA, HORARIO A ACORDAR CON LA PROFESORA.",Sem_6_Area_1
Grupo6201,Sem_6_Area_2,,,,,,,,,
