id,grupo,asignatura,profesor,dia,hora_inicio,hora_fin,salon
1,6101,"APRENDIZAJE,MOTIVAC.Y COGNIC. II",BACHA MENDEZ GUSTAVO,LUNES,08:00,11:00,A 101
2,6101,TALLER DE INVESTIGACION II,GARCIA CABRERO BENILDE,LUNES,11:00,13:00,B 17
3,6102,DESAR.ACTUALS.EN COGNIC.COMPOR.II,CANSINO ORTIZ CARMEN SELENE,LUNES,15:00,18:00,AULA PENDIENTE
4,6104,INVESTIGAC.Y ANALISIS DE DATOS II,ROMERO SANCHEZ PATRICIA,LUNES,17:00,19:00,B 12
5,6104,TALLER DE INVESTIGACION II,DURON FIGUEROA RAUL,LUNES,10:00,12:00,AULA PENDIENTE
6,6105,TALLER DE INVESTIGACION II,ORDUÑA TRUJILLO OSCAR VLADIMIR,LUNES,09:00,11:00,AULA PENDIENTE
7,6106,INVESTIGAC.Y ANALISIS DE DATOS II,MENEZ DIAZ JUDITH MARINA,LUNES,10:00,12:00,B 12
8,6201,FUENTES DE INFORMACION,FLORES MORALES ROGELIO,LUNES,08:00,11:00,A 302
9,6202,INVESTIGACION SOCIAL,SANCHEZ ARAGON ROZZANA,LUNES,09:00,12:00,A 207
10,6203,INVESTIGACION SOCIAL,ARMENTA HURTARTE CAROLINA,LUNES,17:00,20:00,A 105
11,6204,PSICOLOGIA DE LA VIDA COTIDIANA,RAMOS BELTRAN IGNACIO,LUNES,15:00,18:00,A 206
12,6301,EVALUACION NEUROPSICOLOGICA,RAMIREZ FLORES MAURA JAZMIN,LUNES,11:00,13:00,A 201
13,6301,PSICOFARMACOLOGIA Y ADICCION,RAMOS LANGUREN LAURA ELISA,LUNES,13:00,14:30,A 107
14,6302,PSICOFARMACOLOGIA Y ADICCION,CASASOLA CASTRO CESAR,LUNES,11:00,12:30,A 302
15,6303,EVALUACION NEUROPSICOLOGICA,TORRES KNOOP ISABEL,LUNES,18:00,20:00,B 07
16,6303,PSICOFARMACOLOGIA Y ADICCION,SANCHEZ CASTILLO HUGO,LUNES,16:30,18:00,A 107
17,6304,TEMAS SELECTOS EN PSICOBIOLOGIA II,CRUZ PEREZ FELIPE,LUNES,16:00,19:00,A 002
18,6305,TEMAS SELECTOS EN PSICOBIOLOGIA II,LAGARDE LOZANO B. MARGARITA REGINA,LUNES,10:00,13:00,A 002
19,6401,PSICODIAGNOSTICO II,BECERRIL PEREZ MARIA SANTOS,LUNES,08:00,11:00,A 201
20,6402,TEORIA Y TECNICA DE LA ENTREVIS. II,RAMIREZ CAMACHO MARÍA DEL CARMEN,LUNES,12:00,14:00,A 105
21,6403,PSICODIAGNOSTICO II,SOMARRIBA ROCHA LAURA ANGELA,LUNES,09:00,12:00,A 102
22,6405,EPIDEMIOLOGIA Y SALUD PUBLICA,OROZCO ZAVALA RICARDO,LUNES,11:00,14:00,A 314
23,6406,TEORIA Y TECNICA DE LA ENTREVIS. II,PEREZ ESPINOSA JORGE ROGELIO,LUNES,08:00,12:00,A 202
24,6408,TEORIA Y TECNICA DE LA ENTREVIS. II,PEREZ ESPINOSA JORGE ROGELIO,LUNES,15:00,19:00,A 003
25,6409,PSICODIAGNOSTICO II,CHAPA ROMERO ANA CELIA,LUNES,12:00,15:00,A 202
26,6409,TEORIA Y TECNICA DE LA ENTREVIS. II,CERVANTES BAZAN KARLA ALEJANDRA,LUNES,15:00,19:00,A 110
27,6410,PSICODIAGNOSTICO II,RUÍZ GONZÁLEZ VERÓNICA,LUNES,08:00,11:00,A 211
28,6410,PSICODINAMICA DE GRUPOS,MARQUEZ VERDUZCO DAVID,LUNES,15:00,19:00,A 211
29,6411,PSICODINAMICA DE GRUPOS,MORALES CHAMBERT BRENDA CONCEPCION,LUNES,15:00,17:00,B 07
30,6411,TEORIA Y TECNICA DE LA ENTREVIS. II,PROFESOR PENDIENTE,LUNES,08:00,12:00,Edif C Salon 1
31,6413,PSICODIAGNOSTICO II,PADILLA MARQUEZ XOCHITL BERENICE,LUNES,16:00,19:00,A 301
32,6414,PSICODIAGNOSTICO II,HERNANDEZ ESTRADA LIZBETH,LUNES,16:00,19:00,A 312
33,6502,PROGRAMAS DE INTERVEN. PSICOEDUCAT.,MORALES GARDUÑO CECILIA,LUNES,11:00,14:00,A 304
34,6503,PROGRAMAS DE INTERVEN. PSICOEDUCAT.,DIAZ BARRIGA ARCEO FRIDA,LUNES,16:00,19:00,A 204
35,6601,INTEGRACION DE PERSONAL I,PACHECO LAPIEDRA ROSA,LUNES,09:00,12:00,A 301
36,6602,INTEGRACION DE PERSONAL I,PACHECO LAPIEDRA ROSA,LUNES,12:00,15:00,A 301
37,6604,ADMINISTRACION DE PERSONAL,LOZADA VAZQUEZ RICARDO ALBERTO,LUNES,09:00,11:00,A 110
38,6604,CAPACITAC.Y DESARR.DE PERSONAL II,SOUZA COLIN ERIKA,LUNES,12:00,15:00,B 07
39,6606,ADMINISTRACION DE PERSONAL,LOZADA VAZQUEZ RICARDO ALBERTO,LUNES,16:00,20:00,A 205
40,6607,CAPACITAC.Y DESARR.DE PERSONAL II,SOUZA COLIN ERIKA,LUNES,16:00,19:00,A 207
41,6701,ETICA PROFESIONAL,CABRERA ZAMORA INGRID MARISSA,LUNES,09:00,11:00,A 206
42,6701,APORTES DESDE EPISTEM. FEMINIST. PSIC.,CHAVARRIA LUNA SALVADOR,LUNES,11:00,14:00,A 206
43,6101,DESAR.ACTUALS.EN COGNIC.COMPOR.II,VELAZQUEZ MARTINEZ DAVID NATHANAEL,MARTES,12:00,15:00,A 310
44,6102,INVESTIGAC.Y ANALISIS DE DATOS II,SANCHEZ CARRASCO LIVIA,MARTES,08:00,10:00,B 12
45,6103,INVESTIGAC.Y ANALISIS DE DATOS II,CUEVAS RENAUD CORINA MARGARITA,MARTES,12:00,14:00,B 12
