0,1,2,3,4,5,6,7,8,9,Area_Origen
Selecciona el semestre a consultar  ----------- 2do Semestre 	4to Semestre 	6to Semestre 	8vo Semestre  OPTATIVAS DE GENERO (Plan 2008)  OPTATIVAS,Selecciona el tipo de busqueda  ----------- Grupo 	Asignatura,Selecciona el campo del conocimiento  ----------- CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO 	PROCESOS PSICOSOCIALES Y CULTURALES 	PSICOBIOLOGIA Y NEUROCIENCIAS 	PSICOLOGIA CLINICA Y DE LA SALUD 	PSICOLOGIA DE LA EDUCACION 	PSICOLOGIA ORGANIZACIONAL 	CONTEXTUAL,,,,,,,,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
,,,,,,,,,,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
,,,,,,,,,,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
"Grupo 8101  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1816  MODELOS DE APRENDIZ,MOTIV.COGNIC.I  10:00 a 13:00 A 311  PROFESOR PENDIENTE TEMáTICA: ECONOMIA CONDUCTUAL, TEORIAS Y APLICACIONES; PRE-REQUISITOS; LECTURA EN INGLéS, LA CLASE LA IMPARTIRA LA PROFESORA CLARA MUñOZ MáRQUEZ  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  08:00 a 15:00 AULA PENDIENTE  10:00 a 13:00 AULA PENDIENTE  ROJAS RAMIREZ SYLVIA MARGARITA  TEMáTICA: INVESTIGACIóN EN PROCESOS DE INTERACCIóN SOCIAL, DIáLOGO Y SOLUCIóN COLABORATIVA DE PROBLEMAS ENTRE EDUCANDOS DE PRIMARIA EN ESCENARIOS EDUCATIVOS; PRE-REQUISITOS: HABER CURSADO DACC L, LL O LLL, CON LA DRA. ROJAS EN LOS SEM ANTERIORES.  1818  TEMAS SELEC.EN COMPORT.COGNIC. I  09:00 a 12:00 B 07  AVILA SANTIBANEZ RAUL  TEMáTICA: HISTORIA Y ESTATUS ACTUAL DE LA INVESTIGACIóN EN CONDICIONAMIENTO PAVLOVIANO; PRE-REQUISITOS, LEER EN INGLéS.  1820  PRINC.Y TECNICS D CAMBIO DL COMPOR.  10:00 a 13:00 A 311  MORALES CHAINE SILVIA  TEMáTICA: ANáLISIS CONDUCTUAL APLICADO; SIN PRE-REQUISITOS.  1823  TEMAS SELEC.INTERV.CONDUCTL.I  08:00 a 10:00 A 205  GUTIERREZ LARA MARIANA  TEMáTICA: INTERVENCIONES BREVES PARA ADOLESCENTES Y ADULTOS; SIN PRE-REQUISITOS.  Grupo 8102  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  ORDUÑA TRUJILLO OSCAR VLADIMIR  TEMáTICA: ELECCIóN ANIMAL Y PUBLICACIóN DE ARTíCULOS; PRE-REQUISITOS: FLUIDEZ EN LECTURA DE INGLéS EN EL TEMA DE INVESTIGACIóN.  1818  TEMAS SELEC.EN COMPORT.COGNIC. I  12:00 a 15:00 A 312  ZAMORA AREVALO OSCAR  TEMáTICA: CIENCIAS DEL COMPORTAMIENTO Y ECONOMíA; PRE-REQUISITOS: INTERéS POR LA INVESTIGACIóN BáSICA Y APLICADA DESDE UNA PERSPECTIVA EXPERIMENTAL.  1819  ESTRAT.D EVALUAC.Y CAMB.DEL COMP.I  17:00 a 20:00 A 310  MORALES CHAINE SILVIA  TEMáTICA: ANáLISIS CONDUCTUAL APLICADO; SIN PRE-REQUISITOS.  Grupo 8103  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  08:00 a 18:00 A 304  REYES CONTRERAS RAUL  TEMáTICA: INVESTIGACIóN BáSICA, APLICADA Y TRASLACIONAL; PRE-REQUISITOS: HABER CURSARDO EL TALLER DE INVESTIGACIóN LLL.  1818  TEMAS SELEC.EN COMPORT.COGNIC. I  17:00 a 20:00 A 310  ERAZO ÑAÑEZ LEYDY ALEEN  TEMáTICA: VíNCULOS ENTRE LAS CIENCIAS DEL COMPORTAMIENTO Y LAS POLíTICAS PúBLICAS; SIN PRE-REQUISITOS  1820  PRINC.Y TECNICS D CAMBIO DL COMPOR.  10:00 a 13:00 A 313  AVILA SANTIBANEZ RAUL  TEMáTICA: APLICACIóN DE LOS PRINCIPIOS DEL ANáLISIS EXPERIMENTAL DE LA CONDUCTA EN EL ANáLISIS CONDUCTUAL APLICADO; TEORíA Y MéTODOS; PRE-REQUISITOS: LEER EN INGLéS.  1821  TALLER DE PRACTICA SUPERVISADA I  10:00 a 17:00 B 12  MORALES CHAINE SILVIA  TEMáTICA: SALUD MENTAL EN PERSONAS MEXICANAS QUE VIVEN EN EUA; PRE-REQUISITOS: INTERéS EN EL ANáLISIS CONDUCTUAL APLICADO CON PERSONAS ADULTAS  Grupo 8104  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  ESCOBAR HERNANDEZ ROGELIO  TEMáTICA: ANáLISIS EXPERIMENTAL DE LA CONDUCTA ; PRE-REQUISITOS: ENTREVISTA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO, OBLIGATORIA, ROGELIO_ESCOBAR@COMUNIDAD.UNAM.MX  Grupo 8105  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  AVILA SANTIBANEZ RAUL  TEMáTICA: AUTOCONTROL ; PRE-REQUISITOS: ENTREVISTA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO, OBLIGATORIA, RAULAS@UNAM.MX  Grupo 8106  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  08:00 a 18:00 AULA PENDIENTE  PALAFOX PALAFOX GERMAN  TEMáTICA: LOS ESTUDIANTES TRABAJARáN EN UN PROYECTO EN UNO DE LOS SIGUIENTES TóPICOS: TOMA DE DECISIONES Y PERCEPCIóN VISUAL; PRE-REQUISITOS: ENTREVISTA PREVIA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO.","Grupo 8101  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1816  MODELOS DE APRENDIZ,MOTIV.COGNIC.I  10:00 a 13:00 A 311  PROFESOR PENDIENTE TEMáTICA: ECONOMIA CONDUCTUAL, TEORIAS Y APLICACIONES; PRE-REQUISITOS; LECTURA EN INGLéS, LA CLASE LA IMPARTIRA LA PROFESORA CLARA MUñOZ MáRQUEZ  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  08:00 a 15:00 AULA PENDIENTE  10:00 a 13:00 AULA PENDIENTE  ROJAS RAMIREZ SYLVIA MARGARITA  TEMáTICA: INVESTIGACIóN EN PROCESOS DE INTERACCIóN SOCIAL, DIáLOGO Y SOLUCIóN COLABORATIVA DE PROBLEMAS ENTRE EDUCANDOS DE PRIMARIA EN ESCENARIOS EDUCATIVOS; PRE-REQUISITOS: HABER CURSADO DACC L, LL O LLL, CON LA DRA. ROJAS EN LOS SEM ANTERIORES.  1818  TEMAS SELEC.EN COMPORT.COGNIC. I  09:00 a 12:00 B 07  AVILA SANTIBANEZ RAUL  TEMáTICA: HISTORIA Y ESTATUS ACTUAL DE LA INVESTIGACIóN EN CONDICIONAMIENTO PAVLOVIANO; PRE-REQUISITOS, LEER EN INGLéS.  1820  PRINC.Y TECNICS D CAMBIO DL COMPOR.  10:00 a 13:00 A 311  MORALES CHAINE SILVIA  TEMáTICA: ANáLISIS CONDUCTUAL APLICADO; SIN PRE-REQUISITOS.  1823  TEMAS SELEC.INTERV.CONDUCTL.I  08:00 a 10:00 A 205  GUTIERREZ LARA MARIANA  TEMáTICA: INTERVENCIONES BREVES PARA ADOLESCENTES Y ADULTOS; SIN PRE-REQUISITOS.  Grupo 8102  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  ORDUÑA TRUJILLO OSCAR VLADIMIR  TEMáTICA: ELECCIóN ANIMAL Y PUBLICACIóN DE ARTíCULOS; PRE-REQUISITOS: FLUIDEZ EN LECTURA DE INGLéS EN EL TEMA DE INVESTIGACIóN.  1818  TEMAS SELEC.EN COMPORT.COGNIC. I  12:00 a 15:00 A 312  ZAMORA AREVALO OSCAR  TEMáTICA: CIENCIAS DEL COMPORTAMIENTO Y ECONOMíA; PRE-REQUISITOS: INTERéS POR LA INVESTIGACIóN BáSICA Y APLICADA DESDE UNA PERSPECTIVA EXPERIMENTAL.  1819  ESTRAT.D EVALUAC.Y CAMB.DEL COMP.I  17:00 a 20:00 A 310  MORALES CHAINE SILVIA  TEMáTICA: ANáLISIS CONDUCTUAL APLICADO; SIN PRE-REQUISITOS.  Grupo 8103  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  08:00 a 18:00 A 304  REYES CONTRERAS RAUL  TEMáTICA: INVESTIGACIóN BáSICA, APLICADA Y TRASLACIONAL; PRE-REQUISITOS: HABER CURSARDO EL TALLER DE INVESTIGACIóN LLL.  1818  TEMAS SELEC.EN COMPORT.COGNIC. I  17:00 a 20:00 A 310  ERAZO ÑAÑEZ LEYDY ALEEN  TEMáTICA: VíNCULOS ENTRE LAS CIENCIAS DEL COMPORTAMIENTO Y LAS POLíTICAS PúBLICAS; SIN PRE-REQUISITOS  1820  PRINC.Y TECNICS D CAMBIO DL COMPOR.  10:00 a 13:00 A 313  AVILA SANTIBANEZ RAUL  TEMáTICA: APLICACIóN DE LOS PRINCIPIOS DEL ANáLISIS EXPERIMENTAL DE LA CONDUCTA EN EL ANáLISIS CONDUCTUAL APLICADO; TEORíA Y MéTODOS; PRE-REQUISITOS: LEER EN INGLéS.  1821  TALLER DE PRACTICA SUPERVISADA I  10:00 a 17:00 B 12  MORALES CHAINE SILVIA  TEMáTICA: SALUD MENTAL EN PERSONAS MEXICANAS QUE VIVEN EN EUA; PRE-REQUISITOS: INTERéS EN EL ANáLISIS CONDUCTUAL APLICADO CON PERSONAS ADULTAS  Grupo 8104  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  ESCOBAR HERNANDEZ ROGELIO  TEMáTICA: ANáLISIS EXPERIMENTAL DE LA CONDUCTA ; PRE-REQUISITOS: ENTREVISTA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO, OBLIGATORIA, ROGELIO_ESCOBAR@COMUNIDAD.UNAM.MX  Grupo 8105  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  AVILA SANTIBANEZ RAUL  TEMáTICA: AUTOCONTROL ; PRE-REQUISITOS: ENTREVISTA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO, OBLIGATORIA, RAULAS@UNAM.MX  Grupo 8106  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  08:00 a 18:00 AULA PENDIENTE  PALAFOX PALAFOX GERMAN  TEMáTICA: LOS ESTUDIANTES TRABAJARáN EN UN PROYECTO EN UNO DE LOS SIGUIENTES TóPICOS: TOMA DE DECISIONES Y PERCEPCIóN VISUAL; PRE-REQUISITOS: ENTREVISTA PREVIA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO.","Grupo 8101  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1816  MODELOS DE APRENDIZ,MOTIV.COGNIC.I  10:00 a 13:00 A 311  PROFESOR PENDIENTE TEMáTICA: ECONOMIA CONDUCTUAL, TEORIAS Y APLICACIONES; PRE-REQUISITOS; LECTURA EN INGLéS, LA CLASE LA IMPARTIRA LA PROFESORA CLARA MUñOZ MáRQUEZ  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  08:00 a 15:00 AULA PENDIENTE  10:00 a 13:00 AULA PENDIENTE  ROJAS RAMIREZ SYLVIA MARGARITA  TEMáTICA: INVESTIGACIóN EN PROCESOS DE INTERACCIóN SOCIAL, DIáLOGO Y SOLUCIóN COLABORATIVA DE PROBLEMAS ENTRE EDUCANDOS DE PRIMARIA EN ESCENARIOS EDUCATIVOS; PRE-REQUISITOS: HABER CURSADO DACC L, LL O LLL, CON LA DRA. ROJAS EN LOS SEM ANTERIORES.  1818  TEMAS SELEC.EN COMPORT.COGNIC. I  09:00 a 12:00 B 07  AVILA SANTIBANEZ RAUL  TEMáTICA: HISTORIA Y ESTATUS ACTUAL DE LA INVESTIGACIóN EN CONDICIONAMIENTO PAVLOVIANO; PRE-REQUISITOS, LEER EN INGLéS.  1820  PRINC.Y TECNICS D CAMBIO DL COMPOR.  10:00 a 13:00 A 311  MORALES CHAINE SILVIA  TEMáTICA: ANáLISIS CONDUCTUAL APLICADO; SIN PRE-REQUISITOS.  1823  TEMAS SELEC.INTERV.CONDUCTL.I  08:00 a 10:00 A 205  GUTIERREZ LARA MARIANA  TEMáTICA: INTERVENCIONES BREVES PARA ADOLESCENTES Y ADULTOS; SIN PRE-REQUISITOS.  Grupo 8102  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  ORDUÑA TRUJILLO OSCAR VLADIMIR  TEMáTICA: ELECCIóN ANIMAL Y PUBLICACIóN DE ARTíCULOS; PRE-REQUISITOS: FLUIDEZ EN LECTURA DE INGLéS EN EL TEMA DE INVESTIGACIóN.  1818  TEMAS SELEC.EN COMPORT.COGNIC. I  12:00 a 15:00 A 312  ZAMORA AREVALO OSCAR  TEMáTICA: CIENCIAS DEL COMPORTAMIENTO Y ECONOMíA; PRE-REQUISITOS: INTERéS POR LA INVESTIGACIóN BáSICA Y APLICADA DESDE UNA PERSPECTIVA EXPERIMENTAL.  1819  ESTRAT.D EVALUAC.Y CAMB.DEL COMP.I  17:00 a 20:00 A 310  MORALES CHAINE SILVIA  TEMáTICA: ANáLISIS CONDUCTUAL APLICADO; SIN PRE-REQUISITOS.  Grupo 8103  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  08:00 a 18:00 A 304  REYES CONTRERAS RAUL  TEMáTICA: INVESTIGACIóN BáSICA, APLICADA Y TRASLACIONAL; PRE-REQUISITOS: HABER CURSARDO EL TALLER DE INVESTIGACIóN LLL.  1818  TEMAS SELEC.EN COMPORT.COGNIC. I  17:00 a 20:00 A 310  ERAZO ÑAÑEZ LEYDY ALEEN  TEMáTICA: VíNCULOS ENTRE LAS CIENCIAS DEL COMPORTAMIENTO Y LAS POLíTICAS PúBLICAS; SIN PRE-REQUISITOS  1820  PRINC.Y TECNICS D CAMBIO DL COMPOR.  10:00 a 13:00 A 313  AVILA SANTIBANEZ RAUL  TEMáTICA: APLICACIóN DE LOS PRINCIPIOS DEL ANáLISIS EXPERIMENTAL DE LA CONDUCTA EN EL ANáLISIS CONDUCTUAL APLICADO; TEORíA Y MéTODOS; PRE-REQUISITOS: LEER EN INGLéS.  1821  TALLER DE PRACTICA SUPERVISADA I  10:00 a 17:00 B 12  MORALES CHAINE SILVIA  TEMáTICA: SALUD MENTAL EN PERSONAS MEXICANAS QUE VIVEN EN EUA; PRE-REQUISITOS: INTERéS EN EL ANáLISIS CONDUCTUAL APLICADO CON PERSONAS ADULTAS  Grupo 8104  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  ESCOBAR HERNANDEZ ROGELIO  TEMáTICA: ANáLISIS EXPERIMENTAL DE LA CONDUCTA ; PRE-REQUISITOS: ENTREVISTA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO, OBLIGATORIA, ROGELIO_ESCOBAR@COMUNIDAD.UNAM.MX  Grupo 8105  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  07:00 a 09:00 AULA PENDIENTE  AVILA SANTIBANEZ RAUL  TEMáTICA: AUTOCONTROL ; PRE-REQUISITOS: ENTREVISTA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO, OBLIGATORIA, RAULAS@UNAM.MX  Grupo 8106  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1817  TALLER DE INVEST.DOCENCIA SUPERV. I  08:00 a 18:00 AULA PENDIENTE  PALAFOX PALAFOX GERMAN  TEMáTICA: LOS ESTUDIANTES TRABAJARáN EN UN PROYECTO EN UNO DE LOS SIGUIENTES TóPICOS: TOMA DE DECISIONES Y PERCEPCIóN VISUAL; PRE-REQUISITOS: ENTREVISTA PREVIA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO.",,,,,,,,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
Grupo 8101,Grupo 8101,Grupo 8101,Grupo 8101,Grupo 8101,Grupo 8101,Grupo 8101,Grupo 8101,Grupo 8101,Grupo 8101,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1816,"MODELOS DE APRENDIZ,MOTIV.COGNIC.I",,,,,10:00 a 13:00 A 311,,PROFESOR PENDIENTE,"TEMáTICA: ECONOMIA CONDUCTUAL, TEORIAS Y APLICACIONES; PRE-REQUISITOS; LECTURA EN INGLéS, LA CLASE LA IMPARTIRA LA PROFESORA CLARA MUñOZ MáRQUEZ",CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1817,TALLER DE INVEST.DOCENCIA SUPERV. I,,08:00 a 15:00 AULA PENDIENTE,,,,10:00 a 13:00 AULA PENDIENTE,ROJAS RAMIREZ SYLVIA MARGARITA,"TEMáTICA: INVESTIGACIóN EN PROCESOS DE INTERACCIóN SOCIAL, DIáLOGO Y SOLUCIóN COLABORATIVA DE PROBLEMAS ENTRE EDUCANDOS DE PRIMARIA EN ESCENARIOS EDUCATIVOS; PRE-REQUISITOS: HABER CURSADO DACC L, LL O LLL, CON LA DRA. ROJAS EN LOS SEM ANTERIORES.",CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1818,TEMAS SELEC.EN COMPORT.COGNIC. I,,,,,09:00 a 12:00 B 07,,AVILA SANTIBANEZ RAUL,"TEMáTICA: HISTORIA Y ESTATUS ACTUAL DE LA INVESTIGACIóN EN CONDICIONAMIENTO PAVLOVIANO; PRE-REQUISITOS, LEER EN INGLéS.",CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1820,PRINC.Y TECNICS D CAMBIO DL COMPOR.,,,10:00 a 13:00 A 311,,,,MORALES CHAINE SILVIA,TEMáTICA: ANáLISIS CONDUCTUAL APLICADO; SIN PRE-REQUISITOS.,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1823,TEMAS SELEC.INTERV.CONDUCTL.I,,,,,08:00 a 10:00 A 205,,GUTIERREZ LARA MARIANA,TEMáTICA: INTERVENCIONES BREVES PARA ADOLESCENTES Y ADULTOS; SIN PRE-REQUISITOS.,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
